label,left_0,left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,right_0,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41
hello,0.0,0.0,-0.16330189062008196,-0.0436651009571417,-0.31557337905719235,-0.14567499519299706,-0.43023633822047397,-0.2122976617175327,-0.5260694541991533,-0.23846186994555926,-0.21221689398813406,-0.5022790107981792,-0.2684521500974379,-0.6938744922406278,-0.2918843678280839,-0.8144679573879036,-0.3038049790722119,-0.9119842174060631,-0.12463078059427408,-0.5506994535767,-0.1605154669571785,-0.772307454647219,-0.17566514934217772,-0.9018760289695323,-0.18296902173269333,-1.0,-0.03240184578832202,-0.5571918055909413,-0.051101150177827605,-0.7716548866744335,-0.06309572500566382,-0.8889014681582362,-0.07425389392437672,-0.9803019352250371,0.061916339752666784,-0.5247214773362727,0.09332793033764439,-0.6802819511971391,0.10769362393587571,-0.7804071600781116,0.11530947900656449,-0.8638874125572776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,-0.16207829914401817,-0.0192881303500531,-0.2891143023345159,-0.11843879926767027,-0.36231022266110413,-0.2176029296387819,-0.41893202825652387,-0.29196546484098257,-0.23795678060409806,-0.48139517169650764,-0.29847214502063835,-0.6656851356697929,-0.3255651194813955,-0.7835837441353545,-0.34105605369227343,-0.8848587903524562,-0.1578475375769477,-0.5378940915481465,-0.19551881541341756,-0.7624419316546013,-0.21582535136892653,-0.894259283188264,-0.22691932171067886,-1.0,-0.07506466329139602,-0.5473132438244416,-0.09459523308606686,-0.7667629249445997,-0.11295252391923688,-0.88684295528485,-0.12836428878976136,-0.9883205897129571,0.011702934510228672,-0.5150049557474708,0.031897647104531315,-0.6836553763945683,0.04159562473439453,-0.7903043414720259,0.04698553740088255,-0.8864564383033264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,-0.1688381276863487,-0.0392173805339753,-0.31870705888238265,-0.1323455176448652,-0.43487195277403334,-0.20448753154332144,-0.52782312894233,-0.24389551626716474,-0.21829035130826704,-0.4902054191513205,-0.2782414549800929,-0.6886418361349697,-0.302285404427314,-0.8112746992934671,-0.3135801405682493,-0.9130319562303226,-0.1286603695500912,-0.5485025466057339,-0.16662043121756887,-0.7731980012375228,-0.18540825277352505,-0.9031550811866843,-0.1946321579898735,-1.0,-0.03481917213310566,-0.5633163042422741,-0.052305401147584356,-0.7750356931425026,-0.06522354995689002,-0.8900480670327515,-0.07663545751559678,-0.9777802329678102,0.06085904840222861,-0.5356066015125813,0.09092889915312886,-0.6897573722356708,0.10325129283143661,-0.7871316356675147,0.11017510706605177,-0.8664437444774944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,-0.16588723069255604,0.004905085606195484,-0.3185307444544941,-0.07753083888960925,-0.43895401975906506,-0.1272490979919344,-0.5395412328609056,-0.13568695899360225,-0.23789579953389042,-0.4877879485237348,-0.3009473450893864,-0.6743399548366459,-0.32618485437618683,-0.790019881095571,-0.34007942422920934,-0.8872521082666099,-0.15433489319970925,-0.5514656994010597,-0.18716691777741576,-0.7740125075563186,-0.20181370114656447,-0.9026933683286643,-0.20897272814026857,-1.0,-0.06709659327186562,-0.566910297898927,-0.08123856252778404,-0.7793445577938111,-0.09569654669713451,-0.8990994356303228,-0.1103539136181154,-0.9976269403814675,0.01971225595545873,-0.5444586067521143,0.04090251557886399,-0.7124452873876488,0.05182147366441169,-0.8168665164441582,0.055362772725789156,-0.9071677246844547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,-0.1530188851371039,-0.007571750981144153,-0.2760286567623204,-0.09960412515320127,-0.37019427005102284,-0.15112405573551715,-0.45267963793698407,-0.16532209567448378,-0.21116266383040264,-0.46727340016982194,-0.2649745495951093,-0.6537237101726259,-0.2924361512604991,-0.7727806523834412,-0.3096856768971711,-0.8749808622352482,-0.14036272814671685,-0.5225279484590781,-0.1684962949470504,-0.7489529834928579,-0.186102123201134,-0.8903483729162415,-0.19520391902368567,-1.0,-0.0636696118534845,-0.5275469397730196,-0.0806952508137936,-0.7491317755238591,-0.09582398565270228,-0.8719899095391651,-0.11293169808799314,-0.9746594942382285,0.014436998844564126,-0.4942230342106042,0.03199638998752422,-0.6651047687740023,0.04081059303119921,-0.7701367270867792,0.04290660923354053,-0.8622892519445159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,-0.17270428833915394,0.015816570512971362,-0.3290962150991128,-0.04656824033720944,-0.4559833378592647,-0.0838203224571973,-0.559616622781003,-0.08551452761954652,-0.2606392862593416,-0.46331520078480126,-0.34315527943421514,-0.6484612946031816,-0.38508718556497507,-0.7649715749252528,-0.415027288940094,-0.8621338542477882,-0.18080025107335354,-0.536520581422199,-0.23117742479282963,-0.7640515028737384,-0.2612755070712342,-0.8972513604519262,-0.2821193822127357,-1.0,-0.0968087422387391,-0.5631895364114555,-0.12375133274176983,-0.7750811301934789,-0.14587042234692948,-0.8972999216344373,-0.1656185879218087,-0.9956579151826956,-0.012369638673060398,-0.5510161856136092,0.0013576699651421192,-0.7178378941623803,0.00861477566831552,-0.8205189639809195,0.010707029291368299,-0.905038552872383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,-0.17062842920818344,-0.04212754198004003,-0.3251498697229989,-0.1437831139743839,-0.44739164793997815,-0.21896874612477335,-0.5456841833239656,-0.260617065795658,-0.23353144555258606,-0.4902234524351621,-0.300021999048571,-0.691696112767732,-0.32658707408066856,-0.8154898511993914,-0.34128014109612315,-0.9169137913681469,-0.14527035296503962,-0.544734450436822,-0.19259000962569198,-0.7679583761194334,-0.21425693308284152,-0.8995251374111765,-0.2260429031173388,-1.0,-0.05115528541308119,-0.5541639357381077,-0.08054758704127676,-0.760386262740955,-0.09420203067369706,-0.8700506910966224,-0.10660306434758327,-0.9530034483421903,0.04758810133254408,-0.5218321572432012,0.06657427862914819,-0.6647605193286524,0.07094972633407153,-0.7530497901263012,0.07084487718020227,-0.8260078403267654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssuck,0.0,0.0,-0.10710369547370746,-0.1588654962534507,-0.17204068222526353,-0.3233727323636777,-0.22971980389358637,-0.43533651541781004,-0.2661069236835545,-0.5402230309029635,-0.0034739840906707273,-0.5116322894066968,-0.09592913643995803,-0.6352497653667023,-0.19327927783481147,-0.632477792625215,-0.25958913362793057,-0.589622892597124,0.047366909909187675,-0.5299564955579394,0.05591050749014136,-0.7523831815461197,0.018781438768395223,-0.8929024532743459,-0.021222316067082723,-1.0,0.09222747299279536,-0.5012387970542461,0.14442507361076212,-0.7151210656283988,0.13206925223669494,-0.8617231474070993,0.11495348003621554,-0.9777647216107471,0.11913006107112245,-0.4349193375022626,0.2090860108544728,-0.5738172136485575,0.2463227119469062,-0.6958186815011167,0.27151383992419587,-0.8088452024568992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssuck,0.0,0.0,-0.1080537631664428,-0.14972619516575483,-0.1793879852724614,-0.31292032313177615,-0.23807464452130783,-0.4314850761941154,-0.27155252060343255,-0.5455383732728379,-0.00818402351526553,-0.5091106144678512,-0.10120249358666422,-0.6352685348717122,-0.19702860108464063,-0.6312254814219136,-0.26059743371661437,-0.5856655514473401,0.051631107368057504,-0.5269959060785211,0.052984926107388024,-0.7416554007581825,0.020282049621617674,-0.8863078717146502,-0.01456156648992486,-1.0,0.10599184294406327,-0.4947934922950561,0.15475790550803534,-0.6977816967572181,0.1417222641492837,-0.8462034944541985,0.121879334669328,-0.9654051106107642,0.13915073771084263,-0.42077292899558094,0.22989027378400093,-0.555525405108296,0.26697520817263465,-0.6750105280616463,0.28991790455664695,-0.7850948457260641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssuck,0.0,0.0,-0.10368145194287084,-0.15039485375582617,-0.18200160994241002,-0.3072438702922678,-0.24853448230833472,-0.42384548731517435,-0.283691701251797,-0.5404474525592222,-0.020112788827672902,-0.5069183995988492,-0.12374676662161072,-0.6329332465875779,-0.21885896057150053,-0.623788495121712,-0.2809492276164901,-0.5770333067717985,0.036949629231539785,-0.5328117754461148,0.029907785238093305,-0.7530943801170371,-0.010889455457582893,-0.8932196120468264,-0.05434385560894302,-1.0,0.09021713329266884,-0.5080141354568632,0.13503795320256082,-0.71377731141939,0.11743549058264942,-0.8561705076425835,0.09292466874013011,-0.970236088130128,0.12331508848009017,-0.43999726066035494,0.20784855630416652,-0.5808363459298462,0.2437963533121344,-0.6973759795895982,0.2676207152114021,-0.8015672272833586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
